City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,butte,39.6499,-121.5677,23.120000000000005,60,0,2.57,US,1690964499
66,saipan,15.1355,145.701,29.390000000000043,100,40,0.0,MP,1690964500
67,port saint john's,-31.6229,29.5448,17.5,52,2,2.43,ZA,1690964501
68,ilulissat,69.2167,-51.1,6.010000000000048,93,100,1.03,GL,1690964501
69,anadyr,64.75,177.4833,10.28000000000003,87,100,9.0,RU,1690964502
70,banda aceh,5.5577,95.3222,31.590000000000032,59,84,8.37,ID,1690964502
71,avarua,-21.2078,-159.775,23.03000000000003,78,100,3.09,CK,1690964504
72,alofi,-19.0595,-169.9187,19.939999999999998,100,100,7.72,NU,1690964504
73,yemva,62.59,50.8594,25.470000000000027,41,100,1.91,RU,1690964331
74,kristiansund,63.1115,7.732,16.03000000000003,88,40,2.57,NO,1690964506
75,margaret river,-33.95,115.0667,8.689999999999998,92,100,10.82,AU,1690964506
76,udachny,66.4167,112.4,20.08000000000004,59,100,3.99,RU,1690964507
77,lerwick,60.1545,-1.1494,14.0,94,100,4.25,GB,1690964508
78,fortuna,40.5982,-124.1573,14.960000000000036,94,100,0.0,US,1690964508
79,tsengel,49.4783,100.8894,22.060000000000002,50,60,5.82,MN,1690964509
80,fort bragg,35.139,-79.006,20.75,89,0,2.55,US,1690964510
81,cabo san lucas,22.8909,-109.9124,30.840000000000032,78,36,1.63,MX,1690964511
82,wailua homesteads,22.0669,-159.378,26.439999999999998,83,75,6.69,US,1690964511
83,invercargill,-46.4,168.35,5.57000000000005,75,95,1.79,NZ,1690964512
84,aki,33.5,133.9,29.970000000000027,75,44,2.73,JP,1690964512
85,thompson,55.7435,-97.8558,15.090000000000032,100,40,2.57,CA,1690964513
86,wielun,51.221,18.5696,19.700000000000045,64,7,4.96,PL,1690964514
87,ust-nera,64.5667,143.2,16.650000000000034,48,98,1.73,RU,1690964514
88,laascaanood,8.4774,47.3597,26.450000000000045,53,100,14.7,SO,1690964515
89,portoferraio,42.8115,10.3146,28.950000000000045,94,40,2.57,IT,1690964516
90,kirakira,-10.4544,161.9205,24.939999999999998,89,100,4.86,SB,1690964517
